car_trim,powertrain_type
Hyundai Accent RB 2026 A/T / GL,Internal_Combustion_Engine
Hyundai Accent RB 2026 A/T / SR,Internal_Combustion_Engine
Hyundai Accent RB 2026 A/T / DAB ABS,Internal_Combustion_Engine
Hyundai Accent RB 2026 A/T / DAB ABS PLUS,Internal_Combustion_Engine
Hyundai Accent RB 2026 A/T / Highline,Internal_Combustion_Engine
Hyundai Accent RB 2025 A/T / GL,Internal_Combustion_Engine
Hyundai Accent RB 2025 A/T / SR,Internal_Combustion_Engine
Hyundai Accent RB 2025 A/T / DAB ABS,Internal_Combustion_Engine
Hyundai Accent RB 2025 A/T / DAB ABS PLUS,Internal_Combustion_Engine
Hyundai Accent RB 2025 A/T / Highline,Internal_Combustion_Engine
Hyundai Accent RB A/T / GL 2025,Internal_Combustion_Engine
Hyundai Accent RB A/T / SR 2025,Internal_Combustion_Engine
Hyundai Accent RB A/T / DAB ABS 2025,Internal_Combustion_Engine
Hyundai Accent RB A/T / DAB ABS PLUS 2025,Internal_Combustion_Engine
Hyundai Accent RB A/T / Highline 2025,Internal_Combustion_Engine
Hyundai Elantra AD 2026 A/T / Smart,Internal_Combustion_Engine
Hyundai Elantra AD 2026 A/T / Modern,Internal_Combustion_Engine
Hyundai Elantra AD 2026 A/T / Top Line,Internal_Combustion_Engine
Hyundai Elantra AD 2025 A/T / Smart,Internal_Combustion_Engine
Hyundai Elantra AD 2025 A/T / Modern,Internal_Combustion_Engine
Hyundai Elantra AD 2025 A/T / Top Line,Internal_Combustion_Engine
Hyundai Elantra AD A/T / Top Line,Internal_Combustion_Engine
Hyundai Elantra AD A/T / Top Line 2025,Internal_Combustion_Engine
Hyundai Elantra AD A/T / Modern 2025,Internal_Combustion_Engine
Hyundai Elantra AD A/T / Smart 2025,Internal_Combustion_Engine
Hyundai Elantra AD A/T / Top Line 2026,Internal_Combustion_Engine
Hyundai Elantra AD A/T / Modern 2026,Internal_Combustion_Engine
Hyundai Elantra AD A/T / Smart 2026,Internal_Combustion_Engine
Hyundai I30 2026 A/T / Blaze,Internal_Combustion_Engine
Hyundai I30 2026 A/T / Blaze (fastback),Internal_Combustion_Engine
Hyundai I30 2026 A/T / Redline,Internal_Combustion_Engine
Hyundai I30 2026 A/T / Redline (fastback),Internal_Combustion_Engine
Hyundai Elantra CN7 2025 A/T / Shadow,Internal_Combustion_Engine
Hyundai Elantra CN7 2025 A/T / Blaze,Internal_Combustion_Engine
Hyundai Elantra CN7 2025 A/T / Redline,Internal_Combustion_Engine
Hyundai Elantra CN7 2025 A/T / BLACK DIAMOND,Internal_Combustion_Engine
Hyundai Tucson 2026 A/T / SHADOW,Internal_Combustion_Engine
Hyundai Tucson 2026 A/T / Blaze,Internal_Combustion_Engine
Hyundai Tucson 2026 A/T / Redine,Internal_Combustion_Engine
Hyundai Tucson 2026 A/T / NIGHT,Internal_Combustion_Engine
Hyundai Tucson 2026 A/T / BLACK DIAMOND,Internal_Combustion_Engine
