id,car_brand,car_model,car_trim,Price_EGP,body_type,powertrain_type,Insurance_Price_EGP,Register_Price_EGP,Engine_CC,Engine_Turbo,Horsepower_HP,Max_Speed_kmh,Acceleration_0_100_sec,Number_transmission_Speeds,Transmission_Type,Fuel_Type,Number_of_Cylinders,Fuel_Tank_L,Torque_Newton_Meter,Length_mm,Width_mm,Height_mm,Ground_Clearance_mm,Wheelbase_mm,Trunk_Size_L,Origin_Country,Assembly_Country,Year,Number_of_Seats,Traction_Type,ABS,EBD,Driver_Airbag,Passenger_Airbag,Rear_Sensors,Air_Conditioning,Power_Steering,Electric_Mirrors,Remote_Keyless,Central_Locking,Cruise_Control,Sunroof,Tinted_Glass,Front_Power_Windows,Back_Power_Windows,Bluetooth,USB_Port,AUX,Alloy_Wheels,Fog_Light,Multifunction,Warranty_km,Warranty_years,Minimum_Installment,Minimum_Deposit,Fuel_Consumption_l_100_km,Side_Airbag,Power_Seats,CD_Player,Closing_Mirrors,Leather_Seats,EPS,Rear_Camera,GPS,Front_Sensors,Intelligent_Parking_System,Rear_Spoiler,Electric_Chairs,Start_Engine,ESP,Steptronic,Panoramic_Sunroof,Touch_Activated_Door_Lock,Heated_Seats,Cool_Box,Rear_Seat_Entertainment,Daytime_Running_Lights,Start_Stop_System,Tyre_Pressure_Sensor,Xenon_Headlights,Front_Camera,Immobilizer_Key,Roof_Rack,Anti_Theft_System,Alarm,Multimedia_Touch_Screen,Off_Road_Tyres,Battery_Capacity_kWh,Battery_Range_km
1,Genesis,G80,Genesis G80 2026 A/T / Dynamic,4750000.0,sedan,Electric,118750,11875,,False,370,,5.1,,automatic_traditional,,,,700,5135,1925,1480,,3140,,south korea,korea,2026,4,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,132901,712500,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,,True,True,True,,95.0,475
2,Genesis,G80,Genesis G80 2026 A/T / Advanced,4950000.0,sedan,Electric,123750,12375,,False,370,,5.1,,automatic_traditional,,,,700,5135,1925,1480,,3140,,south korea,korea,2026,4,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,138497,742500,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,,True,True,True,,95.0,475
3,Genesis,G80,Genesis G80 2026 A/T / Performance,5450000.0,sedan,Electric,136250,13625,,False,370,,5.1,,automatic_traditional,,,,700,5135,1925,1480,,3140,,south korea,korea,2026,4,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,152486,817500,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,,True,True,True,,95.0,475
4,Genesis,GV70,Genesis GV70 2026 A/T / Dynamic,4500000.0,crossover/suv,Electric,112500,11250,,False,489,,4.4,,automatic_traditional,,,,700,4715,1910,1630,,2875,503,south korea,korea,2026,5,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,125906,675000,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,84.0,423
5,Genesis,GV70,Genesis GV70 2026 A/T / Advanced,4800000.0,crossover/suv,Electric,120000,12000,,False,489,,4.4,,automatic_traditional,,,,700,4715,1910,1630,,2875,503,south korea,korea,2026,5,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,134300,720000,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,84.0,423
6,Kaiyi,KAIYI-X3-PRO,Kaiyi X3 Pro 2026 A/T / Top Line,915000.0,crossover/suv,Internal_Combustion_Engine,22875,9150,1500,False,114,,,,automatic_cvt,92,4,51,143,4400,1831,1653,158,2632,360,china,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,25601,137250,,True,,,,True,True,True,True,,True,True,,True,True,,,True,,,,True,True,True,True,,True,True,True,True,True,,,
7,Kaiyi,KAIYI-X3-PRO,Kaiyi X3 Pro 2026 A/T / Flagship,948750.0,crossover/suv,Internal_Combustion_Engine,23719,9488,1500,True,156,,,9,automatic_cvt,92,4,51,230,4400,1831,1653,158,2632,360,china,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,26545,142313,,True,,,True,True,True,True,True,True,True,True,,True,True,,True,True,,,True,True,True,True,True,True,True,True,True,True,True,,,
8,Kaiyi,Kaiyi-X7,Kaiyi X7 2026 A/T / Flagship,1395000.0,crossover/suv,Internal_Combustion_Engine,34875,13950,1600,True,197,,,7,automatic_dsg,92,4,60,290,4710,1955,1705,186,2800,150,china,china,2026,7,front traction,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,,,39031,209250,,True,,,True,True,True,True,True,True,True,True,True,True,True,,,True,True,,True,True,True,True,True,True,True,True,True,True,True,,,
9,MG,MG-4,MG MG 4 2026 AT / Standard,1200000.0,hatchback,Internal_Combustion_Engine,30000,3000,,False,168,,7.7,,automatic_traditional,,,51,250,4287,1836,1504,,2705,350,uk,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,33575,180000,,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,,,,,,,,,True,True,True,,,
10,MG,MG-4,MG MG 4 2025 AT / Standard,1200000.0,hatchback,Internal_Combustion_Engine,30000,3000,,False,168,,7.7,,automatic_traditional,,,51,250,4287,1836,1504,,2705,350,uk,,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,33575,180000,,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,,,,,,,,,True,True,True,,,
11,MG,MG-4,MG MG 4 2026 A/T / Luxury,1400000.0,hatchback,Internal_Combustion_Engine,35000,3500,,False,200,,7.9,,automatic_traditional,,,64,250,4287,1836,1504,,2705,350,uk,china,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,39171,210000,,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,,,,,,,,,True,True,True,,,
12,MG,MG-4,MG MG 4 2025 A/T / Luxury,1400000.0,hatchback,Internal_Combustion_Engine,35000,3500,,False,200,,7.9,,automatic_traditional,,,64,250,4287,1836,1504,,2705,350,uk,,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,150000.0,6.0,39171,210000,,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,True,,,,,,,,,,,True,True,True,,,
