car_brand,car_model,car_trim,Official_Price_EGP,Market_Price_EGP,Insurance_Price_EGP,Register_Price_EGP,Engine_CC,Horsepower_HP,Max_Speed_kmh,Acceleration_0_100_sec,Speeds,Transmission,Fuel_Type,Number_of_Cylinders,Fuel_Tank_L,Torque_Newton_Meter,Length_mm,Width_mm,Height_mm,Ground_Clearance_mm,Wheelbase_mm,Trunk_Size_L,Origin_Country,Assembly_Country,Year,Number_of_Seats,Traction_Type,ABS,EBD,Driver_Airbag,Passenger_Airbag,Rear_Sensors,Air_Conditioning,Power_Steering,Electric_Mirrors,Remote_Keyless,Central_Locking,Cruise_Control,Sunroof,Tinted_Glass,Front_Power_Windows,Back_Power_Windows,Multimedia_System,Bluetooth,USB_Port,AUX,Alloy_Wheels,Fog_Light,Fog_Lights,Fabric_Brushes,Multifunction,Warranty,Minimum_Installment,Minimum_Deposit,Fuel_Consumption_l_100_km,Side_Airbag,Power_Seats,Cassette_Radio,CD_Changer,DVD_Player,CD_Player,Closing_Mirrors,Leather_Seats,EPS,Rear_Camera,GPS,Front_Sensors,Intelligent_Parking_System,Rear_Spoiler,Electric_Chairs,Start_Engine,ESP,Steptronic,Panoramic_Sunroof,Touch_Activated_Door_Lock,Cloth,Velour,AM_FM_Radio,Heated_Seats,Cool_Box,Rear_Seat_Entertainment,Daytime_Running_Lights,Start_Stop_System,Tyre_Pressure_Sensor,Xenon_Headlights,Front_Camera,Immobilizer_Key,Roof_Rack,Alarm_or_Anti_Theft_System,Anti_Theft_System,Alarm,Touch_Screen,Touch_Screen,Off_Road_Tyres
hyundai,Accent-RB,Hyundai Accent-RB Hyundai Accent RB 2026 A/T / GL,799900,799900,19998,7999,1600,125,185,11.1,4,automatic,tank,4,43,156,4370,1705,1455,147,2570,389,korea,egypt,2026,5,front traction,True,,,,,True,True,True,True,True,,,True,True,True,,True,True,True,True,True,,True,True,True,True,119985,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,
hyundai,Accent-RB,Hyundai Accent-RB Hyundai Accent RB 2026 A/T / SR,829900,829900,20748,8299,1600,125,185,11.1,4,automatic,tank,4,43,156,4370,1705,1455,147,2570,389,korea,egypt,2026,5,front traction,True,,,,,True,True,True,True,True,,True,True,True,True,,,,,True,True,,True,,True,True,124485,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,
hyundai,Accent-RB,Hyundai Accent-RB Hyundai Accent RB 2026 A/T / DAB ABS,875000,875000,21875,8750,1600,125,185,11.1,4,automatic,tank,4,43,156,4370,1705,1455,147,2570,389,korea,egypt,2026,5,front traction,True,True,True,True,,True,True,True,True,True,,,True,True,True,,True,True,True,True,True,,True,True,True,True,131250,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,
hyundai,Accent-RB,Hyundai Accent-RB Hyundai Accent RB 2026 A/T / DAB ABS PLUS,895000,895000,22375,8950,1600,125,185,11.1,4,automatic,tank,4,43,156,4370,1705,1455,147,2570,389,korea,egypt,2026,5,front traction,True,True,True,True,,True,True,True,True,True,,,True,True,True,,True,True,True,True,True,,True,True,True,True,134250,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,
hyundai,Accent-RB,Hyundai Accent-RB Hyundai Accent RB 2026 A/T / Highline,930000,930000,23250,9300,1600,125,185,11.1,4,automatic,tank,4,43,156,4370,1705,1455,147,2570,389,korea,egypt,2026,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,True,True,True,139500,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,
hyundai,Accent-RB,Hyundai Accent-RB Hyundai Accent RB 2025 A/T / GL,790000,790000,19750,7900,1600,125,185,11.1,4,automatic,tank,4,43,156,4370,1705,1455,147,2570,389,korea,egypt,2025,5,front traction,True,,,,,True,True,True,True,True,,,True,True,True,,True,True,True,True,True,,True,True,True,True,118500,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,
hyundai,Accent-RB,Hyundai Accent-RB Hyundai Accent RB 2025 A/T / SR,820000,820000,20500,8200,1600,125,185,11.1,4,automatic,tank,4,43,156,4370,1705,1455,147,2570,389,korea,egypt,2025,5,front traction,True,,,,,True,True,True,True,True,,True,True,True,True,,,,,True,True,,True,,True,True,123000,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,
hyundai,Accent-RB,Hyundai Accent-RB Hyundai Accent RB 2025 A/T / DAB ABS,865000,865000,21625,8650,1600,125,185,11.1,4,automatic,tank,4,43,156,4370,1705,1455,147,2570,389,korea,egypt,2025,5,front traction,True,True,True,True,,True,True,True,True,True,,,True,True,True,,True,True,True,True,True,,True,True,True,True,129750,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,
hyundai,Accent-RB,Hyundai Accent-RB Hyundai Accent RB 2025 A/T / DAB ABS PLUS,885000,885000,22125,8850,1600,125,185,11.1,4,automatic,tank,4,43,156,4370,1705,1455,147,2570,389,korea,egypt,2025,5,front traction,True,True,True,True,,True,True,True,True,True,,,True,True,True,,True,True,True,True,True,,True,True,True,True,132750,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,
hyundai,Accent-RB,Hyundai Accent-RB Hyundai Accent RB 2025 A/T / Highline,920000,920000,23000,9200,1600,125,185,11.1,4,automatic,tank,4,43,156,4370,1705,1455,147,2570,389,korea,egypt,2025,5,front traction,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,True,True,True,138000,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,
